0	123803	99.84%	0.16%
0.01	855097	98.70%	1.30%
0.02	79519	98.59%	1.41%
0.03	1076243	97.16%	2.84%
0.04	26222	97.13%	2.87%
0.05	1700369	94.86%	5.14%
0.06	368839	94.37%	5.63%
0.07	853	94.37%	5.63%
0.08	14849	94.35%	5.65%
0.09	13161	94.33%	5.67%
0.1	3775493	89.31%	10.69%
0.11	2797	89.31%	10.69%
0.12	26	89.31%	10.69%
0.13	1611457	87.17%	12.83%
0.14	112	87.17%	12.83%
0.15	36075	87.12%	12.88%
0.16	54	87.12%	12.88%
0.18	33710	87.07%	12.93%
0.19	3158	87.07%	12.93%
0.2	275482	86.70%	13.30%
0.21	14	86.70%	13.30%
0.22	1738	86.70%	13.30%
0.23	280	86.70%	13.30%
0.25	3903268	81.51%	18.49%
0.26	792	81.51%	18.49%
0.28	4	81.51%	18.49%
0.3	14516	81.49%	18.51%
0.31	22	81.49%	18.51%
0.32	2	81.49%	18.51%
0.35	17794	81.46%	18.54%
0.38	94428	81.34%	18.66%
0.4	73020	81.24%	18.76%
0.44	84879	81.13%	18.87%
0.45	265	81.13%	18.87%
0.5	10270675	67.46%	32.54%
0.53	456	67.46%	32.54%
0.6	6004	67.46%	32.54%
0.63	5357	67.45%	32.55%
0.7	6687	67.44%	32.56%
0.75	121443	67.28%	32.72%
0.8	8501	67.27%	32.73%
0.88	105481	67.13%	32.87%
0.9	126	67.13%	32.87%
