1.05	298	4.30%	95.70%
1.125	1	4.30%	95.70%
1.2	651	4.30%	95.70%
1.25	7752	4.29%	95.71%
1.313	2	4.29%	95.71%
1.4	1069	4.28%	95.72%
1.5	389691	3.77%	96.23%
1.6	926	3.77%	96.23%
1.75	363323	3.28%	96.72%
1.8	9	3.28%	96.72%
1.875	1	3.28%	96.72%
2	1773027	0.92%	99.08%
2.1	37	0.92%	99.08%
2.25	7160	0.91%	99.09%
2.4	7	0.91%	99.09%
2.5	31306	0.87%	99.13%
2.625	23020	0.84%	99.16%
2.8	72	0.84%	99.16%
3	100430	0.71%	99.29%
3.2	107	0.71%	99.29%
3.5	91490	0.59%	99.41%
3.75	20589	0.56%	99.44%
4	281719	0.18%	99.82%
4.5	5555	0.18%	99.82%
4.8	47	0.18%	99.82%
5	6676	0.17%	99.83%
5.25	7683	0.16%	99.84%
6	24134	0.13%	99.87%
6.4	2	0.13%	99.87%
7	20160	0.10%	99.90%
7.5	5825	0.09%	99.91%
8	44105	0.03%	99.97%
9	2076	0.03%	99.97%
10	1516	0.03%	99.97%
10.5	1498	0.03%	99.97%
12	3884	0.02%	99.98%
14	2907	0.02%	99.98%
15	1732	0.01%	99.99%
16	6075	0.01%	99.99%
18	688	0.00%	100.00%
20	142	0.00%	100.00%
21	669	0.00%	100.00%
24	632	0.00%	100.00%
28	356	0.00%	100.00%
30	276	0.00%	100.00%
32	530	0.00%	100.00%
36	185	0.00%	100.00%
40	125	0.00%	100.00%
42	127	0.00%	100.00%
48	156	0.00%	100.00%
56	84	0.00%	100.00%
60	82	0.00%	100.00%
64	109	0.00%	100.00%
72	17	0.00%	100.00%
128	71	0.00%	100.00%
224	19	0.00%	100.00%
